Latitude,Longitude,Title
47.6211,-122.3244,Group Health Cooperative of Puget Sound
40.0077,-75.1339,Southeastern Pennsylvania Transportation Authority
40.464,-86.1277,Chrysler Corp.
42.6493,-83.2878,"General Motors Corp, Pontiac East Truck Plant"
33.7366,-117.8819,Construction industry
37.7562,-122.443,"Retail grocery chains - Safeway, Lucky Stores, Save Mart"
34.1139,-118.4068,"University of California, Los Angeles"
45.5372,-122.65,Oregon State
38.9047,-77.0163,Washington Gas Light Company
34.1139,-118.4068,Pepsi Cola Bottling Company
40.7245,-74.1725,New Jersey Turnpike Authority
42.3834,-83.1024,Detroit Newspapers
42.5098,-94.1751,Chrysler Corp.
47.6211,-122.3244,Pacific Maritime Association
45.5372,-122.65,Pacific Maritime Association
37.7562,-122.443,Pacific Maritime Association
30.3322,-81.6749,CSX Corp.
40.6943,-73.9249,Bell Atlantic Corp.
41.239,-80.8174,"WCI Steel, Inc."
41.823,-71.4187,Providence Public Schools
25.7839,-80.2102,Ryder Systems Inc.
45.5372,-122.65,Oregon Health and Sciences University
41.9665,-91.6782,Amana Refrigeration Inc.
35.4494,-86.7897,Inter City Products
45.5023,-122.4413,Boeing Company
39.1234,-94.7443,Boeing Company
47.6211,-122.3244,Boeing Company
44.9635,-93.2678,Metropolitan Council/Metro Transit
42.4551,-75.0666,Amphenol Corp.
42.1168,-80.0733,General Electric Corp.
42.3834,-83.1024,"Chrysler Corp., McGraw Glass Division"
37.7903,-122.2165,Oakland Unified School District
40.6943,-73.9249,Commercial Building Realty Advisory Board
39.4842,-88.1781,Trailmobile Manufacturing Company
37.7903,-122.2165,Oakland Public Schools
32.8312,-117.1225,San Diego Public Schools
34.1139,-118.4068,Los Angeles and Long Beach Ports
41.3112,-72.9246,Yale University
30.3665,-88.5507,Ingalls Shipbuilding Inc.
37.7903,-122.2165,Oakland Unified School District
42.4934,-83.027,Chrysler Corp.
38.4109,-82.4344,Nursing home industry
39.7797,-84.1998,General Motors Corp.
41.3112,-72.9246,Yale University
35.3493,-94.3695,Beverly Enterprises
39.3051,-76.6144,Maryland Heavy-Highway Contractors Association
41.1684,-80.859,General Motors Corp.
47.0417,-122.8959,Crown Cork and Seal Company
41.2627,-96.0522,Crown Cork and Seal Company
45.5372,-122.65,Crown Cork and Seal Company
42.8724,-112.4646,Crown Cork and Seal Company
39.3051,-76.6144,Crown Cork and Seal Company
43.824,-91.2268,Crown Cork and Seal Company
38.9241,-76.8875,Grocery industry-- Safeway and King Soopers
37.9881,-87.5341,"NBC Merchants, Inc."
42.9726,-88.1291,Northern Illinois Mason Employers Council
37.3645,-121.968,Bay Area cleaning companies
38.6358,-90.2451,McDonnell Douglas Aerospace
33.893,-118.2275,Compton Public Schools
40.6943,-73.9249,League of Voluntary Hospitals
37.8723,-122.276,Contra Costa County Public Schools District
32.8312,-117.1225,National Steel and Shipbuilding Company
33.5277,-86.7987,Pemco Aeroplex Inc.
38.6156,-90.1304,East St. Louis School District
41.4767,-81.6804,Aluminum Company of America
43.6007,-116.2312,Boise Cascade Corp.
40.0752,-80.6951,Wheeling Pittsburgh Steel Corp.
40.0077,-75.1339,Holt Cargo Systems Inc.
40.7777,-111.9306,Kennecott Utah Copper Corp.
39.7771,-86.1458,General Motors Corp.
42.6855,-89.0136,General Motors Corp.
40.7498,-73.7976,Elevator Industry
41.5199,-90.3879,IBP Inc.
38.9241,-76.8875,Giant Food Inc.
39.6983,-84.2459,General Motors Corp.
41.0886,-85.1437,General Motors Corp.
35.4676,-97.5136,General Motors Corp.
42.4934,-83.027,Chrysler Corp.
38.6358,-90.2451,Chrysler Corp.
41.6639,-83.5822,Chrysler Corp.
37.7562,-122.443,Kaiser Permanente
41.0798,-81.5219,Goodyear Tire and Rubber Company
34.0376,-80.9037,Goodyear/Kelly-Springfield Tire Company
42.6493,-83.2878,General Motors Corp.
35.6863,-85.7812,Carrier Air Conditioning Company
41.4767,-81.6804,Construction Employers Association
40.0077,-75.1339,General Building Contractors Association
40.0077,-75.1339,Interior Finish Contractors Association of Delaware Valley
41.239,-80.8174,"General Motors Corp., Delphi Packard Electric Division"
40.7245,-74.1725,Blue Cross Blue Shield of New Jersey
37.7562,-122.443,Kaiser Permanente
42.4934,-83.027,General Motors Corp.
41.9728,-70.9749,Shaw's Supermarkets Inc.
41.7658,-71.4857,Shaw's Supermarkets Inc.
33.7627,-84.4224,United Parcel Service
39.9862,-82.985,State of Ohio
45.5272,-122.9361,Kaiser Permanente
47.4784,-122.1919,Kaiser Permanente
38.6358,-90.2451,Painting and Decorating Contractors Association
37.7562,-122.443,Bay Area Rapid Transit
37.7903,-122.2165,Kaiser Permanente
41.2627,-96.0522,Vickers Inc.
34.1139,-118.4068,Los Angeles County
38.2705,-104.6112,Colorado Fuel and Iron Company
37.3875,-120.7248,Foster Farms Poultry
41.1287,-84.8501,Uniroyal Goodrich Tire Company
37.7903,-122.2165,Kaiser Permanente
37.7903,-122.2165,Kaiser Permanente
44.9635,-93.2678,Honeywell Inc.
38.0423,-84.4587,Trane Company
37.7903,-122.2165,Kaiser Permanente
40.0077,-75.1339,Community College of Philadelphia
42.4959,-96.3901,Construction companies
35.0657,-85.2488,"Wheland Foundry, Division of North American Royalties"
36.1715,-86.7843,Peterbilt Motors Company
41.4699,-90.5827,"Quad City Builders Association, Inc."
42.3834,-83.1024,Associated General Contractors; Great Lakes Fabricators and Erectors Association
40.0077,-75.1339,Southeastern Pennsylvania Transportation Authority
42.578,-83.2456,Michigan Road Builders Association
42.3834,-83.1024,General Motors Corp.
43.9491,-88.0942,Tecumseh Products Company
39.9862,-82.985,Lucent Technologies Inc.
42.0327,-97.4208,BeefAmerica
40.6943,-73.9249,Bell Atlantic Corp.
41.4052,-80.3837,Trinity Industries Inc.
40.0077,-75.1339,Consolidated Rail Company
39.7621,-104.8759,US West Corp.
40.6943,-73.9249,Southern New England Telecommunications Company
41.3112,-72.9246,Northwest Airlines
35.208,-80.8304,Continental General Tire Company
47.6671,-117.433,Kaiser Aluminum Corp.
40.0241,-82.4412,Kaiser Aluminum Corp.
30.4418,-91.131,Kaiser Aluminum Corp.
41.6639,-83.5822,Libbey Inc.
35.3493,-94.3695,Rheem Manufacturing Company
39.1207,-88.5508,Fedders Air Conditioning
38.6358,-90.2451,Anheuser-Busch Inc.
40.6943,-73.9249,American Broadcasting System
34.1879,-118.3235,American Broadcasting System
38.9047,-77.0163,American Broadcasting System
41.8373,-87.6862,American Broadcasting System
40.8501,-73.8662,Albert Einstein College of Medicine
40.7161,-74.0682,Jersey City Public Schools
38.5667,-121.4683,University of California
39.9862,-82.985,ANR Advance Transportation Company
43.0642,-87.9673,ANR Advance Transportation Company
41.8373,-87.6862,ANR Advance Transportation Company
40.6943,-73.9249,ANR Advance Transportation Company
42.962,-85.6562,ANR Advance Transportation Company
39.9862,-82.985,ANR Advance Transportation Company
38.5513,-90.4924,ANR Advance Transportation Company
29.7863,-95.3889,ANR Advance Transportation Company
41.5563,-90.6052,ANR Advance Transportation Company
39.7771,-86.1458,ANR Advance Transportation Company
38.887,-94.687,ANR Advance Transportation Company
38.1663,-85.6485,ANR Advance Transportation Company
36.1715,-86.7843,ANR Advance Transportation Company
41.823,-71.4187,Women and Infants Hospital
61.1508,-149.1091,Anchorage School District
36.5695,-87.342,Trane Company
32.7811,-97.3473,American Airlines
41.823,-71.4187,Women and Infants Hospital
42.2755,-83.7312,University of Michigan
37.1051,-76.5185,Newport News Shipbuilding and Drydock Company
47.2431,-122.4531,State of Washington
44.9635,-93.2678,SMARCA Inc.
30.3665,-88.5507,Ingalls Shipbuilding Inc.
37.3019,-121.8486,Independent Contractors
46.2506,-119.1304,IBP Inc.
39.9862,-82.985,Buckeye Steel Castings Company
35.1046,-89.9773,Overnite Transportation Co.
41.0886,-85.1437,Overnite Transportation Co.
33.7627,-84.4224,Overnite Transportation Co.
39.1234,-94.7443,Overnite Transportation Co.
32.4656,-93.7956,Overnite Transportation Co.
44.9635,-93.2678,Overnite Transportation Co.
39.9862,-82.985,Overnite Transportation Co.
42.2986,-85.2296,Overnite Transportation Co.
26.0594,-80.1637,Overnite Transportation Co.
42.3834,-83.1024,Board of Education of the School District of the City of Detroit
39.3797,-74.4527,Atlantic City Casino Hotels
33.5277,-86.7987,Bruno's Inc.
47.6211,-122.3244,Boeing Company
33.5277,-86.7987,Board of Education of the School District of the School District of the City of Birmingham
37.6896,-97.3442,Boeing Company
45.5023,-122.4413,Boeing Company
39.7621,-104.8759,Kaiser Permanente
43.4674,-70.4512,Interstate Brands Corp.
41.0153,-73.8036,Interstate Brands Corp.
39.9408,-75.276,Interstate Brands Corp.
40.9147,-74.1624,Interstate Brands Corp.
42.5912,-71.8156,Interstate Brands Corp.
41.823,-71.4187,Interstate Brands Corp.
41.1918,-73.1953,Interstate Brands Corp.
42.9848,-71.4447,Interstate Brands Corp.
44.4877,-73.2314,Interstate Brands Corp.
37.1943,-93.2916,Associated Wholesale Grocers
39.1239,-94.5541,Associated Wholesale Grocers
35.4676,-97.5136,Associated Wholesale Grocers
34.1139,-118.4068,Los Angeles janitorial maintenance contractors
32.7811,-97.3473,Lockheed Martin Aeronautics Company
41.8373,-87.6862,Building Owners and Managers Association
41.8373,-87.6862,Cleaning Contractors Association
37.8723,-122.276,University of California
34.7256,-92.3576,Association of National Advertisers; American Association of Advertising Agencies
39.9862,-82.985,Ohio State University
40.6943,-73.9249,Association of Master Painters and Decorators of New York
37.3913,-122.1468,Stanford Hospital and Clinics and Lucile Salter Packard Children's Hospital
37.7983,-89.0305,Maytag Herrin Laundry Products
41.8373,-87.6862,Northern Illinois Ready Mix and Materials Association; Prairie Materials; and Ozinga Brothers
44.8306,-93.3151,Hotel employers
37.7562,-122.443,Hospitals - 10
40.5203,-74.2724,Associated General Contractors and others
41.823,-71.4187,Rhode Island Correctional Facilities
38.895,-121.0778,Northern California Drywall Contractors Association
42.3188,-71.0846,Association of National Advertisers; American Association of Advertising Agencies
41.8373,-87.6862,Association of National Advertisers; American Association of Advertising Agencies
39.9862,-82.985,Association of National Advertisers; American Association of Advertising Agencies
32.7936,-96.7662,Association of National Advertisers; American Association of Advertising Agencies
39.7621,-104.8759,Association of National Advertisers; American Association of Advertising Agencies
36.2333,-115.2654,Association of National Advertisers; American Association of Advertising Agencies
35.1053,-106.6464,Association of National Advertisers; American Association of Advertising Agencies
40.7777,-111.9306,Association of National Advertisers; American Association of Advertising Agencies
42.3834,-83.1024,Association of National Advertisers; American Association of Advertising Agencies
25.7839,-80.2102,Association of National Advertisers; American Association of Advertising Agencies
33.7627,-84.4224,Association of National Advertisers; American Association of Advertising Agencies
21.3294,-157.846,Association of National Advertisers; American Association of Advertising Agencies
44.9635,-93.2678,Association of National Advertisers; American Association of Advertising Agencies
38.6358,-90.2451,Association of National Advertisers; American Association of Advertising Agencies
36.1715,-86.7843,Association of National Advertisers; American Association of Advertising Agencies
35.8325,-78.6435,Association of National Advertisers; American Association of Advertising Agencies
40.0077,-75.1339,Association of National Advertisers; American Association of Advertising Agencies
45.5372,-122.65,Association of National Advertisers; American Association of Advertising Agencies
34.1139,-118.4068,Association of National Advertisers; American Association of Advertising Agencies
47.6211,-122.3244,Association of National Advertisers; American Association of Advertising Agencies
38.9047,-77.0163,Association of National Advertisers; American Association of Advertising Agencies
38.9866,-77.1188,Association of National Advertisers; American Association of Advertising Agencies
37.7562,-122.443,Hospitals - 8
43.6773,-70.2715,Verizon Communications
42.9848,-71.4447,Verizon Communications
44.4622,-73.2203,Verizon Communications
42.2516,-71.0183,Verizon Communications
41.7062,-71.4334,Verizon Communications
40.6943,-73.9249,Verizon Communications
40.7268,-74.5918,Verizon Communications
39.7415,-75.5413,Verizon Communications
40.4074,-79.9097,Verizon Communications
39.3051,-76.6144,Verizon Communications
36.7335,-76.0435,Verizon Communications
39.324,-81.5383,Verizon Communications
38.9047,-77.0163,Verizon Communications
32.498,-87.8298,Earthgrain Company
33.9508,-83.3689,Earthgrain Company
35.6535,-88.8353,Earthgrain Company
38.1663,-85.6485,Earthgrain Company
41.8083,-88.3413,Earthgrain Company
38.014,-103.6284,Earthgrain Company
41.0196,-92.4186,Earthgrain Company
30.4271,-89.0703,Earthgrain Company
